game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
732,0,0,true,,,cascade,utility,3,75,90648800961,90648752236,8,0,GREEN,false,9,0,2,3,GOBLIN:11;SPIDER:14,ASSASSIN:7;GOBLIN:2;GOLEM:2
733,0,0,true,,,utility,utility,3,75,90656712042,90656701383,12,0,GREEN,false,5,0,3,2,ARCHER:4;GARGOYLE:6;SCORPION_RIDER:1,ARCHER:7;SCORPION_RIDER:4
734,0,0,true,,,utility,utility,3,75,90656712042,90656701383,12,0,GREEN,false,5,0,3,2,ARCHER:4;GARGOYLE:6;SCORPION_RIDER:1,ARCHER:7;SCORPION_RIDER:4
735,0,0,true,,,utility,utility,3,75,90656719961,90656676596,40,0,,false,1,5,3,2,ARCHER:1;GARGOYLE:3;SPIDER:16,GARGOYLE:5;GOLEM:4
736,0,0,true,,,utility,utility,3,75,90656719961,90656676596,38,0,,false,1,6,3,2,ARCHER:1;GARGOYLE:3;SPIDER:16,GARGOYLE:5;GOLEM:4
737,0,0,true,,,utility,utility,3,75,90664631042,90664641967,12,0,GREEN,false,4,0,3,2,ARCHER:5;GOLEM:4;SPIDER:1,MAGE:5;SPIDER:13
738,0,0,true,,,utility,utility,3,75,90664631042,90664641967,10,0,GREEN,false,4,0,3,2,ARCHER:5;GOLEM:4;SPIDER:1,MAGE:5;SPIDER:13
739,0,0,true,,,utility,utility,3,75,90664638961,90664617820,16,0,GREEN,false,11,0,3,3,GOBLIN:11;SCORPION_RIDER:5,GARGOYLE:3;MAGE:7;SPIDER:1
740,0,0,true,,,utility,utility,3,75,90664638961,90664617820,16,0,GREEN,false,11,0,3,3,GOBLIN:11;SCORPION_RIDER:5,GARGOYLE:3;MAGE:7;SPIDER:1
741,0,0,true,,,utility,cascade,3,75,11854743042,11854796975,16,0,GREEN,false,3,0,2,3,ASSASSIN:8;GOBLIN:6,ARCHER:3;ASSASSIN:7;GOBLIN:2
742,0,0,true,,,cascade,utility,3,75,11854743042,11854796975,10,0,GREEN,false,5,0,2,3,ASSASSIN:8;GOBLIN:6,ARCHER:3;ASSASSIN:7;GOBLIN:2
743,0,0,true,,,utility,cascade,3,75,11854750961,11854805596,19,0,BLUE,false,0,1,3,3,GOBLIN:10;GOLEM:4;SPIDER:1,ARCHER:1;GOBLIN:12;SCORPION_RIDER:4
